,customer,real estate type,loan amount,mortgage collateral MV,additional collateral MV,additional collateral type,lgd
37,private,appartment,862608.4091998676,1070880.1139489284,0.0,none,0.0
38,private,appartment,615340.367148993,731211.6246706566,22344.645664033364,retirement account,0.0
39,private,appartment,814006.1915135522,989349.2212788924,32783.67959628785,retirement account,0.0
40,private,appartment,644000.783319015,833460.7178649283,0.0,none,0.0
41,private,appartment,1242902.996077827,1520961.2792962454,78305.69898071885,retirement account,0.0
42,private,appartment,841268.4370004807,1070101.5251345083,61569.93904542478,retirement account,0.0
43,private,appartment,1099916.4861657086,1395428.123467178,0.0,none,0.0
44,private,appartment,378533.0238484514,495570.9161115884,0.0,none,0.0
45,private,appartment,332869.57936445944,450611.29167351255,0.0,none,0.0
46,private,appartment,628431.8903447357,737486.1659433224,40347.48734140631,retirement account,0.0
47,private,appartment,892005.4840065818,1157317.8772633127,0.0,none,0.027184674499367713
48,private,appartment,723178.503815356,893664.8049167979,3995.295774171709,retirement account,0.034685236881389435
49,private,appartment,425162.0286125927,502139.4940421162,98.78892840319655,retirement account,0.0
50,private,appartment,1284516.1488827448,1429262.8767087515,81416.19836981712,retirement account,0.07488143150607876
51,private,appartment,395340.1429464503,510708.67823414295,0.0,none,0.0
52,private,appartment,1060635.1389700063,1299228.2658834816,58752.80117575095,retirement account,0.0
53,private,appartment,801327.6263504776,947203.4125157977,16647.311014179544,retirement account,0.022840775854392228
54,private,appartment,1296278.459297879,1559053.0677037085,20776.86587300693,retirement account,0.0
55,private,appartment,1351347.7688260153,1583131.6284036245,35784.71112138725,retirement account,0.0
56,private,appartment,737667.8562245852,976508.0871631748,0.0,none,0.0
57,private,appartment,356600.481579415,402676.681105205,36220.99436656705,retirement account,0.0
58,private,appartment,753186.733026351,886718.55084344,18533.581701777694,retirement account,0.040649351236924015
59,private,appartment,861484.375554279,1061187.1926838038,27157.84642027606,retirement account,0.0
60,private,appartment,739393.9517006734,920982.647007254,66946.6725997258,retirement account,0.053736572546591525
61,private,appartment,811984.8656629815,992755.6848385326,0.0,none,0.0
62,private,appartment,816716.5666261077,1064724.1331904943,0.0,none,0.0
63,private,appartment,694413.5857820367,780215.0939706973,53716.411473478336,retirement account,0.08565318094045513
64,private,appartment,442262.1549869318,509486.06372296374,67038.5162620011,retirement account,0.0
65,private,appartment,496497.5439925965,596045.3225112819,0.0,none,0.0
66,private,appartment,1169022.8339824586,1384558.580964921,44110.975789347816,retirement account,0.0
67,private,appartment,1107300.448479021,1276931.7389491359,59780.23002065973,retirement account,0.0812816779600196
68,private,appartment,487544.0522399189,599554.0321949864,16898.2123557072,retirement account,0.0
69,private,appartment,1825187.5496051328,2185224.7594622374,83575.77351361772,retirement account,0.0
70,private,appartment,1993416.259568419,2494910.0165677844,0.0,none,0.0
71,private,appartment,841967.3738804903,1019203.8739301803,0.0,none,0.21080052935199742
72,private,appartment,1056338.5619688916,1228708.5802369772,134939.72663515463,retirement account,0.0
73,private,appartment,303652.7599952699,374775.3138677799,13790.021609693325,retirement account,0.0
74,private,appartment,679331.6167183247,865945.2501816273,0.0,none,0.06157483997739057
75,private,appartment,2495269.399556375,3184542.9349433486,0.0,none,0.0
76,private,appartment,2539677.479243178,3233290.646442468,0.0,none,0.0
77,private,appartment,721682.100896459,881393.020877444,49804.9894458861,retirement account,0.0
78,private,appartment,728156.0881292301,903536.7066533171,26292.08550662482,retirement account,0.017471145849139242
79,private,appartment,643733.4153641199,712672.3993124817,88682.31375992506,retirement account,0.14438643317608926
80,private,appartment,1231496.0396026222,1483536.5209537933,90427.29795349375,retirement account,0.011592313395350076
81,private,appartment,1777635.6470728903,1906152.0224767982,374719.81413903146,retirement account,0.0
82,private,appartment,862681.7341580717,972815.6244360555,163945.05530178855,retirement account,0.0
83,private,appartment,655859.8568404953,868459.8675216379,0.0,none,0.0
84,private,appartment,1197664.0080767768,1525010.1770994025,0.0,none,0.0
85,private,appartment,377557.21996054536,477179.77553688764,6126.003015768823,retirement account,0.0
86,private,appartment,1365110.4288886047,1615468.3317461777,155342.11145294632,retirement account,0.0
87,private,appartment,489385.6336081069,556051.3330809977,64706.35699337196,retirement account,0.0
88,private,appartment,479843.2246823814,538834.6289376918,49403.52255457513,retirement account,0.0
89,private,appartment,901235.1848948004,1088237.3052116693,10801.096712200024,retirement account,0.16785778692258344
90,private,appartment,1382376.310848365,1803061.9768651167,101844.33841335763,retirement account,0.0
91,private,appartment,1640310.3988639994,1924768.1689505004,229099.20699419102,retirement account,0.0
92,private,appartment,581104.9708674711,693603.642219848,4070.084171648,retirement account,0.0
93,private,appartment,346879.54310415674,407106.46730822936,3451.7792420525316,retirement account,0.09118782200094086
94,private,appartment,1284947.5421278384,1459635.655946268,194290.50760380356,retirement account,0.0
95,private,appartment,1151700.1753075733,1483808.3453796748,0.0,none,0.0
96,private,appartment,1167885.5571419715,1489700.9720587244,0.0,none,0.0
97,private,appartment,381318.4796567569,450306.12310302746,26767.330107348535,retirement account,0.0
98,private,appartment,265851.3095952723,350424.1791005065,0.0,none,0.0
99,private,appartment,288494.2003987856,320144.60149818996,41807.138386457234,retirement account,0.0
100,private,appartment,456489.23366719944,636032.3926184301,0.0,none,0.0
101,private,appartment,648841.2635383345,757703.9117987731,75051.7616142056,retirement account,0.0
102,private,appartment,727642.4507273155,903377.2655677831,8290.736824746236,retirement account,0.0
103,private,appartment,772110.6638390104,885096.4080134345,82741.75786866756,retirement account,0.0
104,private,appartment,825668.222118658,991403.4924603548,33205.83938926941,retirement account,0.0
105,private,appartment,659899.6382470541,850372.4252422616,23089.809150459863,retirement account,0.0
106,private,appartment,760225.438522058,998898.1246783558,0.0,none,0.0
107,private,appartment,613349.1370579606,773657.6922734771,47057.93197297242,retirement account,0.0
108,private,appartment,3479553.9324705647,4645795.4446150735,0.0,none,0.0
109,private,appartment,689329.3171427019,864887.1589890536,0.0,none,0.0
110,private,appartment,1013298.7614392377,1138613.576006545,117893.2437192985,retirement account,0.031893736694720114
111,private,appartment,1079835.6939410525,1336623.6118624804,22224.26627888713,retirement account,0.0
112,private,appartment,574420.1982805161,783246.239348956,0.0,none,0.0
113,private,appartment,546073.8727016862,658079.3918000952,13847.801696213057,retirement account,0.0
114,private,appartment,652663.3528032883,800038.3244186913,14605.36677417221,retirement account,0.0
115,private,appartment,860609.6823637099,977185.2985364429,74044.61351645525,retirement account,0.0
116,private,appartment,780316.8780654856,878597.4007176914,208061.38380652145,retirement account,0.0
117,private,appartment,1211888.7486136744,1521230.347745829,0.0,none,0.0
118,private,appartment,519667.0740605106,626368.1994569944,55393.12316288574,retirement account,0.022630728600938916
119,private,appartment,431905.57215556974,541448.3622105572,41838.04848130531,retirement account,0.0
120,private,appartment,687187.7642365886,861207.9317869327,0.0,none,0.00024594249113419736
121,private,appartment,537972.4184672016,681387.6580795927,5896.256387565424,retirement account,0.00469952268982544
122,private,appartment,2115971.385643324,2913861.662649875,0.0,none,0.0
123,private,appartment,963577.5292579738,1153439.0775287987,49078.265198871086,retirement account,0.07552444068751135
124,private,appartment,468793.43507617473,512833.9716456453,58179.91821867845,retirement account,0.0
125,private,appartment,2295221.7336481554,3185981.6346328184,0.0,none,0.0
126,private,appartment,654952.4096492097,792403.3482772652,69194.72189208312,retirement account,0.0
127,private,appartment,788915.6528216486,1007992.5636240052,0.0,none,0.0
128,private,appartment,1192144.6832619826,1337122.9394010308,164258.5900415849,retirement account,0.0
129,private,appartment,525225.8352743947,609870.0019377258,53312.08113870715,retirement account,0.0766234327559219
130,private,appartment,593946.2367973881,727231.0978945687,39061.447629837465,retirement account,0.0
131,private,appartment,536031.2410292014,669499.0246768789,4659.1421869536825,retirement account,0.0
132,private,appartment,1091123.242681172,1266756.042682223,125088.02292238994,retirement account,0.0
133,private,appartment,1005345.1987959163,1197409.7746198566,157664.14477304908,retirement account,0.0
134,private,appartment,1173041.0163230388,1549413.9785467703,0.0,none,0.0
135,private,appartment,567038.6385764625,680652.631470048,0.0,none,0.0
136,private,appartment,347614.3001827493,421237.1797368205,0.0,none,0.0
137,private,appartment,310176.6192203805,395071.8889567998,0.0,none,0.0
138,private,appartment,700545.00589939,845374.357025384,106984.76132471653,retirement account,0.0
139,private,appartment,364438.39231833164,441252.7829133165,21267.295049987762,retirement account,0.0
140,private,appartment,188055.36365156263,244753.59419048004,0.0,none,0.0
141,private,appartment,657818.3898529212,901949.6458134791,0.0,none,0.0
142,private,appartment,835480.0674760937,1037005.0763877877,32897.78487442079,retirement account,0.0
143,private,appartment,1086969.130210496,1363591.1490616796,0.0,none,0.04857197630888568
144,private,appartment,516721.712333123,622450.2185720732,42252.66492542904,retirement account,0.0
145,private,appartment,1433913.5380748974,1620830.79818526,103250.59676674401,retirement account,0.04369075037782413
146,private,appartment,526474.816969845,600065.6425848536,28567.968920463958,retirement account,0.0
147,private,appartment,437396.2024593907,540921.7378506389,9615.718391331764,retirement account,0.0
148,private,appartment,367249.6041758945,473880.95822050027,0.0,none,0.0
149,private,appartment,588273.4381960325,686289.1190413292,58483.47816328945,retirement account,0.0
150,private,appartment,513189.19784714706,660875.3989739876,0.0,none,0.0
151,private,appartment,781097.0732908549,1023083.9424378108,0.0,none,0.12751998324664532
152,private,appartment,1001417.0608112741,1103061.9951617527,118707.32934203274,retirement account,0.0
153,private,appartment,971120.8841184779,1080114.6929684177,161051.0249282207,retirement account,0.0
154,private,appartment,947953.7857710461,1191134.6062015453,0.0,none,0.03894356733647928
155,private,appartment,2727030.0973285157,3437557.4131710525,73381.14042854191,retirement account,0.0
156,private,appartment,1102108.5772377253,1290482.3519799574,80636.80753574564,retirement account,0.0
157,private,appartment,1060351.9464869692,1324012.7135570568,54717.93400976309,retirement account,0.0
158,private,appartment,944033.0551418018,1132323.7601672008,21980.571919393184,retirement account,0.0
159,private,appartment,1785896.3723172694,2121354.045342989,150020.4746313268,retirement account,0.0
160,private,appartment,520178.0774616554,603830.0682862533,78857.10250878269,retirement account,0.0
161,private,appartment,712121.0277798938,844409.1960878932,25448.066791841273,retirement account,0.0
162,private,appartment,479265.2845963723,556722.1340831837,38011.468682562685,retirement account,0.0
163,private,appartment,693215.4447963738,890798.9883619645,0.0,none,0.0
164,private,appartment,620418.2442822806,795506.924481391,711.0984123744254,retirement account,0.0
165,private,appartment,720395.485646445,904531.2183193354,0.0,none,0.0
166,private,appartment,814852.3579519265,981210.3538079696,65110.947235246356,retirement account,0.0
167,private,appartment,371081.58340015565,433818.7175752759,18198.78424232661,retirement account,0.0
168,private,appartment,1082883.469402647,1234290.0306764157,84987.90577436774,retirement account,0.042123182191645195
169,private,appartment,302639.123230595,362262.6858059824,7697.652648513408,retirement account,0.0
170,private,appartment,518848.03637013835,677081.2762221759,0.0,none,0.0
171,private,appartment,1441338.7622690701,1699291.678061251,138205.20876693694,retirement account,0.0
172,private,appartment,1061441.1880463606,1215524.5763674516,118886.24034157535,retirement account,0.0
173,private,appartment,739069.7922709617,952459.7030253601,0.0,none,0.0
174,private,appartment,538691.3168537093,718819.1508264822,0.0,none,0.0
175,private,appartment,470436.9691679191,591031.9988197394,36006.82325259138,retirement account,0.0
176,private,appartment,285376.8098593071,305035.65346850676,53816.40287680389,retirement account,0.0
177,private,appartment,741401.5332480026,912912.6640336779,12832.251682347389,retirement account,0.0
178,private,appartment,476939.8267847449,564795.5339565556,18461.18677414411,retirement account,0.0
179,private,appartment,268133.08587361715,343512.8723739678,0.0,none,0.0
180,private,appartment,303698.21264621697,346216.00917699997,42500.4309091534,retirement account,0.05144271957603177
181,private,appartment,569264.4931267339,689551.646635465,18417.07438941999,retirement account,0.0
182,private,appartment,576956.7418420651,713081.9884495249,27891.5603898796,retirement account,0.0
183,private,appartment,381431.2917994405,497272.21429327986,0.0,none,0.0
184,private,appartment,541516.024130656,704404.4542719648,0.0,none,0.0
185,private,appartment,240504.91551878382,312305.726683595,0.0,none,0.0
186,private,appartment,644818.5440157421,872787.0832255979,4485.2095205575515,retirement account,0.0
187,private,appartment,581020.12268413,760900.9709588572,12591.057458091025,retirement account,0.0
188,private,appartment,1140529.4566093057,1249363.4237399434,149748.54260496757,retirement account,0.09447445890132883
189,private,appartment,548023.9782714031,619783.9018435952,66825.08381551174,retirement account,0.03472346814995289
190,private,appartment,215760.51987955315,294463.04129118036,0.0,none,0.0
191,private,appartment,747154.5979502087,858548.766227357,175943.5860338694,retirement account,0.018866701786665017
192,private,appartment,547674.8051059848,704383.8994345103,53752.72202199057,retirement account,0.0
193,private,appartment,768939.5587215632,954239.2358020729,23472.898548873345,retirement account,0.0
194,private,appartment,981394.6080463709,1200800.619980649,28501.285340906725,retirement account,0.06835416037362646
195,private,appartment,1433728.026898541,1755162.6034016898,60461.04478547492,retirement account,0.0737814446910118
196,private,appartment,779359.2173411528,942417.2023868946,0.0,none,0.0
197,private,appartment,849487.4971067035,979977.5623604199,144668.08706373107,retirement account,0.0
198,private,appartment,1443186.191268507,1673381.4258869481,206681.64450536692,retirement account,0.015988508197723236
199,private,appartment,1343313.7978932317,1583581.0976714566,81171.17292072577,retirement account,0.0
200,private,appartment,340330.4798751739,437740.7857363158,0.0,none,0.0
201,private,appartment,391421.88969178783,454451.19078447093,28497.7762322795,retirement account,0.0
202,private,appartment,469400.48238531104,550215.08818481,29735.508364178633,retirement account,0.0
203,private,appartment,396452.03280001215,510759.0609566382,0.0,none,0.0
204,private,appartment,1013680.0472158747,1150441.3681198054,141078.10134336387,retirement account,0.0
205,private,appartment,1204815.1870880444,1380117.1667912605,136376.790642925,retirement account,0.0
206,private,appartment,505334.5602386871,612052.9935514671,10425.014080158175,retirement account,0.09293539573214668
207,private,appartment,379223.60096511536,438160.08239949145,32499.430329204904,retirement account,0.0
208,private,appartment,594375.5011730698,647709.2497066151,127094.25150328559,retirement account,0.0
209,private,appartment,332071.6460717214,428305.0558487749,0.0,none,0.0
210,private,appartment,318324.49584609526,395030.4837689723,0.0,none,0.0
211,private,appartment,378065.87852237286,442332.49094674917,37496.460752233594,retirement account,0.0
212,private,appartment,730668.6631486099,803649.1007339783,167858.83654410442,retirement account,0.0
213,private,appartment,469151.49759548553,554969.8330865132,34657.301494130625,retirement account,0.0
214,private,appartment,526087.2590503511,716562.9121231909,0.0,none,0.0
215,private,appartment,1455444.1494144145,1943317.818893438,0.0,none,0.0
216,private,appartment,901647.0623921319,1100880.3437121597,3557.974697033829,retirement account,0.0
217,private,appartment,1008393.2906330315,1328180.0966077712,0.0,none,0.0
218,private,appartment,666137.9181349919,904804.0882143693,0.0,none,0.0
219,private,appartment,685777.0737214298,826854.3646806873,0.0,none,0.0
220,private,appartment,419734.4067640717,539999.9164804739,0.0,none,0.0
221,private,appartment,1275852.5814160418,1769218.3100140977,0.0,none,0.0
222,private,appartment,878576.7366711142,1111707.2821256688,0.0,none,0.0
223,private,appartment,643195.6059193213,733786.681043035,95003.77089414849,retirement account,0.0
224,private,appartment,624774.4557507095,711192.1681890845,115653.57783160839,retirement account,0.0
225,private,appartment,926797.7200110456,1134199.1318781872,0.0,none,0.0
226,private,appartment,2493296.960523591,2958729.22851135,309611.23053175036,retirement account,0.0
227,private,appartment,619472.0982602405,764391.021246876,5313.866425812306,retirement account,0.0
228,private,appartment,624923.708187288,708038.1179887487,83982.46981619936,retirement account,0.0
229,private,appartment,729803.9516784837,850803.0269310557,23770.312747888405,retirement account,0.0018134393467346666
230,private,appartment,777605.1589955853,1054959.0205534971,0.0,none,0.0
231,private,appartment,706878.3848380911,926201.0323548815,0.0,none,0.0
232,private,appartment,1713370.8266968883,2020827.5759111817,98827.43614554463,retirement account,0.0
233,private,appartment,1186382.3985923168,1597709.6842898903,0.0,none,0.0
234,private,appartment,371602.43585990684,492140.3095757663,0.0,none,0.0
235,private,appartment,820729.5822997504,870594.3590792427,128028.91979040779,retirement account,0.17619527321015874
236,private,appartment,686492.0043691472,738797.3331220887,119332.138534178,retirement account,0.0
237,private,appartment,612789.6062170636,824553.63871504,0.0,none,0.0
238,private,appartment,560205.8651760253,700653.8095514614,4750.354599040153,retirement account,0.0
239,private,appartment,735700.0844327454,947384.7018278512,0.0,none,0.07194892478659727
240,private,appartment,515230.15431454923,673369.0677088758,0.0,none,0.0
241,private,appartment,630347.789949772,775223.0984851375,8958.836709596155,retirement account,0.0
242,private,appartment,658978.7868646845,806353.532289489,0.0,none,0.0
243,private,appartment,768691.8478465234,964091.5121117391,78163.0876287049,retirement account,0.0
244,private,appartment,590273.5050868294,748696.2754037782,4637.568737382385,retirement account,0.0
245,private,appartment,3008388.565158873,3607534.601485888,0.0,none,0.033984990770113396
246,private,appartment,1088481.8524071537,1292439.7822255914,53402.07346939016,retirement account,0.0
247,private,appartment,324303.3958303692,387605.4973639832,25603.401609270742,retirement account,0.0
248,private,appartment,2986952.285239035,3706127.896859897,0.0,none,0.0
249,private,appartment,508607.18795134086,624244.3718320633,2301.053472839472,retirement account,0.0
250,private,appartment,567197.4500586012,669899.9600164896,37068.97805492746,retirement account,0.0
251,private,appartment,236109.73862066833,287815.23861535557,6442.197654006285,retirement account,0.0
252,private,appartment,877107.0974680871,1142062.9993465387,0.0,none,0.09276593787473433
253,private,appartment,1761332.0284944787,2137939.2578977617,70920.72248144496,retirement account,0.0
254,private,appartment,390105.8852125021,452080.8428712841,50690.02809015864,retirement account,0.0
255,private,appartment,515768.15147600544,634058.51320992,0.0,none,0.0
256,private,appartment,465428.49727985804,644556.743343174,0.0,none,0.0
257,private,appartment,405192.04580093635,510198.49226781476,13016.938689572104,retirement account,0.0
258,private,appartment,481025.21864708624,595718.7325711901,0.0,none,0.040256683631006554
259,private,appartment,729830.7756077875,877310.1646266987,40262.3167116089,retirement account,0.0
260,private,appartment,607154.2884316085,728854.9956504749,0.0,none,0.0037344084097262727
261,private,appartment,370686.6396326852,445763.4075232899,30723.018361181166,retirement account,0.0
262,private,appartment,494977.5947285512,615831.9260019464,2312.399269344017,retirement account,0.0
263,private,appartment,372596.51191013184,438238.8334953655,52128.72160893326,retirement account,0.0
264,private,appartment,1190982.378517353,1312333.1477872033,189889.84553257978,retirement account,0.0
265,private,appartment,871140.536098219,1050815.8585221968,0.0,none,0.0
266,private,appartment,1402654.8841162303,1569739.2214577403,206789.32092674932,retirement account,0.08161851037157035
267,private,appartment,1048748.0003681665,1309205.186441157,0.0,none,0.01568479472665445
268,private,appartment,447730.61327017983,546075.4180324791,23913.433746406838,retirement account,0.0
269,private,appartment,392890.5157562513,491620.20516827854,0.0,none,0.0
270,private,appartment,1065116.8817744076,1326094.0807578363,0.0,none,0.06739348980744946
271,private,appartment,508842.7955205081,555161.856492794,88578.33694939724,retirement account,0.0
272,private,appartment,954889.7336563625,1090821.0050551018,131417.09927519807,retirement account,0.0
273,private,appartment,1151719.9287421047,1444293.5624014966,31782.80562311046,retirement account,0.0
274,private,appartment,620996.5457191262,899652.5880857304,0.0,none,0.0
275,private,appartment,779907.1143301959,907877.4312011966,42753.988893833164,retirement account,0.0
276,private,appartment,1339081.788564716,1630004.40172284,149237.9028010352,retirement account,0.0
277,private,appartment,615777.4165993546,719735.9116834092,21113.939047744872,retirement account,0.0
278,private,appartment,1129939.8599944094,1348126.1940599163,17209.908152905307,retirement account,0.04227941232580918
279,private,appartment,413217.44724598166,526478.0693633622,0.0,none,0.0
280,private,appartment,1096340.859588687,1346798.2339938793,29002.906605648423,retirement account,0.0
281,private,appartment,642173.7935669036,828826.8517110646,0.0,none,0.0
282,private,appartment,1052781.0335062824,1223030.1877295494,91429.52136665206,retirement account,0.0
283,private,appartment,1155219.4907933576,1494946.0040196117,0.0,none,0.0
284,private,appartment,672207.4192838975,776721.4882115046,15789.906605114493,retirement account,0.0
285,private,appartment,372279.96495618793,423919.175650969,38056.786806025724,retirement account,0.0
286,private,appartment,1761026.763086846,2035805.2318352812,310962.7384137579,retirement account,0.0
287,private,appartment,593065.2542739955,794452.4277469998,0.0,none,0.0
288,private,appartment,431108.7305246486,539369.9682947558,0.0,none,0.01137870683635777
289,private,appartment,759711.2308366693,965879.9876829656,0.0,none,0.0
290,private,appartment,2405857.925260797,2959663.3637450775,90506.58030798344,retirement account,0.0
291,private,appartment,492108.90442549915,599836.182214176,22321.19753280427,retirement account,0.0
292,private,appartment,768771.272710324,885543.9263975493,26880.564022032828,retirement account,0.0
293,private,appartment,933812.8482770167,1049882.1903045555,102017.03237938645,retirement account,0.09848049072780347
294,private,appartment,423985.7560772602,517393.83926221717,16856.10330281562,retirement account,0.0
295,private,appartment,773263.2166229144,965681.1121032534,19884.92809287129,retirement account,0.0
296,private,appartment,241974.581249175,295183.9703649367,17922.02514850991,retirement account,0.0721806053683582
297,private,appartment,1231603.5035966267,1543501.66395395,0.0,none,0.0
298,private,appartment,1127815.1148886313,1286296.64129301,110327.97996838685,retirement account,0.0
299,private,appartment,391643.66460812994,516365.8326993738,2611.100102208483,retirement account,0.010518166651228377
300,private,appartment,1216248.1807855312,1647675.739735177,0.0,none,0.0
301,private,appartment,366272.38333482016,471647.0794559583,0.0,none,0.08149338101714787
302,private,appartment,1091285.1332625938,1362801.136411077,56436.785245870655,retirement account,0.0
303,private,appartment,473093.5283738832,580705.1096175658,6746.543343937449,retirement account,0.0
304,private,appartment,1617659.2258150803,1972619.8790670354,171887.07458110436,retirement account,0.0
305,private,appartment,1597496.367781444,2028389.9265953558,0.0,none,0.043089823316626065
306,private,appartment,235356.6268028135,309619.35024735925,0.0,none,0.0
307,private,appartment,639094.6619419636,841691.3488800885,0.0,none,0.03541139689857148
308,private,appartment,563057.5642391997,642206.0194633863,66720.32219695995,retirement account,0.0
309,private,appartment,532884.2896350204,705160.9404467812,0.0,none,0.0
310,private,appartment,1618646.5627313133,1799405.9617511542,149377.0741144523,retirement account,0.08771851144880966
311,private,appartment,586755.2122619638,699458.7215164489,72297.65391931382,retirement account,0.0365031876664778
312,private,appartment,929902.8675825236,1117583.4269405894,23309.2214571398,retirement account,0.0
313,private,appartment,307630.944479245,374428.2383983487,16142.571309247194,retirement account,0.011684698240454221
314,private,appartment,2720239.274997861,4005936.8232144285,0.0,none,0.0
315,private,appartment,967207.9170622501,1254718.545963365,0.0,none,0.0
316,private,appartment,1003316.6943602321,1164022.126911409,134952.22331231303,retirement account,0.0
317,private,appartment,869434.8465059085,1115987.434943121,0.0,none,0.0
318,private,appartment,1014616.9325195809,1275499.1916989046,0.0,none,0.05602588118918997
319,private,appartment,2861912.053192694,3596702.0400149515,0.0,none,0.0
320,private,appartment,550307.3803468687,652823.1543724103,24887.43891399879,retirement account,0.18500402947270872
321,private,appartment,616074.0225512926,755372.6148739603,47818.03156233897,retirement account,0.0
322,private,appartment,819368.603938048,965114.556641201,2977.2206788018675,retirement account,0.051859219098904216
323,private,appartment,983257.5590428368,1171635.188234989,169350.54594767388,retirement account,0.0
324,private,appartment,992727.937199719,1257927.2922664396,0.0,none,0.0
325,private,appartment,398797.4047727108,457911.60872990545,46787.18566936454,retirement account,0.0
326,private,appartment,926498.3941779347,1091264.1303751154,81258.66346794573,retirement account,0.0
327,private,appartment,625298.3398833219,839094.6480180877,0.0,none,0.0
328,private,appartment,947038.1043308029,1114908.7519036173,85008.25786160538,retirement account,0.0
329,private,appartment,882468.4035194297,1182215.9254029142,0.0,none,0.0
330,private,appartment,1538854.3862960935,1900370.0573983316,65377.45791917222,retirement account,0.0
331,private,appartment,401677.5479020892,468641.1026528375,70350.44831537874,retirement account,0.0
332,private,appartment,470664.7599138355,593714.62132791,0.0,none,0.0
333,private,appartment,1158856.2346743376,1302314.8584224696,68104.6592139196,retirement account,0.0
334,private,appartment,951331.2653077649,1133238.3924039463,66089.77643044236,retirement account,0.0
335,private,appartment,879734.5331417562,1113234.41239365,0.0,none,0.0
336,private,appartment,426654.4852988322,511791.94659107435,31309.745478666468,retirement account,0.0
337,private,appartment,469655.5466008192,562585.0943274071,62643.57686355498,retirement account,0.0
338,private,appartment,272494.8183733258,338327.2648832622,8801.051552308674,retirement account,0.0
339,private,appartment,1462615.7559845755,1791213.8752292544,112840.81553115175,retirement account,0.0
340,private,appartment,1173043.2478549366,1326259.292864938,41914.052646390846,retirement account,0.13011694631200815
341,private,appartment,277582.8451494669,335095.2386976683,35226.71358847134,retirement account,0.0
342,private,appartment,1065030.1526209959,1340834.2889932583,30410.52457142387,retirement account,0.0
343,private,appartment,1173159.819210627,1523294.3191629453,0.0,none,0.0
344,private,appartment,738165.1535709186,960760.299805072,0.0,none,0.11658130959199606
345,private,appartment,1428622.5531983508,1648306.8396594417,250725.8848096414,retirement account,0.0
346,private,appartment,305399.28470551973,390182.0367914266,0.0,none,0.0
347,private,appartment,887365.9542475081,1137786.1078681007,0.0,none,0.0
348,private,appartment,315659.96016064554,414037.88628638536,0.0,none,0.0
349,private,appartment,1117110.7471839783,1419441.8847782344,95140.82829640542,retirement account,0.0
